unitid,university_name,year,Cohort_type,Graduation_rate_status_in_cohort,Cohort,Total,Total_men,Total_women,American_Indian_total,American_Indian_men,American_Indian_women,Asian_total,Asian_men,Asian_women,Black_total,Black_men,Black_women,Hispanic_total,Hispanic_men,Hispanic_women,Native_Hawaiian_total,Native_Hawaiian_men,Native_Hawaiian_women,White_total,White_men,White_women,Two_or_more_races_total,Two_or_more_races_men,Two_or_more_races_women,Race_unknown_total,Race_unknown_men,Race_unknown_women,Nonresident_alien_total,Nonresident_alien_men
183488,Eastwick College-Hackensack,2019,27,10,4,45,3.0,42.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,8.0,24.0,1.0,23.0,0.0,0.0,0.0,9.0,1.0,8.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
183488,Eastwick College-Hackensack,2019,29,12,4,45,3.0,42.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,8.0,24.0,1.0,23.0,0.0,0.0,0.0,9.0,1.0,8.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
183488,Eastwick College-Hackensack,2019,30,13,4,27,2.0,25.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,14.0,1.0,13.0,0.0,0.0,0.0,8.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
183488,Eastwick College-Hackensack,2019,31,14,4,18,1.0,17.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
183488,Eastwick College-Hackensack,2019,32,15,4,9,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2019,35,22,4,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183488,Eastwick College-Hackensack,2019,36,23,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183488,Eastwick College-Hackensack,2019,37,24,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183488,Eastwick College-Hackensack,2019,48,32,4,18,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,10.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2018,27,10,4,83,9.0,74.0,0.0,0.0,0.0,2.0,1.0,1.0,19.0,2.0,17.0,51.0,4.0,47.0,0.0,0.0,0.0,11.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2018,29,12,4,83,9.0,74.0,0.0,0.0,0.0,2.0,1.0,1.0,19.0,2.0,17.0,51.0,4.0,47.0,0.0,0.0,0.0,11.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2018,30,13,4,37,1.0,36.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,29.0,1.0,28.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2018,31,14,4,27,1.0,26.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,20.0,1.0,19.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2018,32,15,4,10,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2018,35,22,4,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183488,Eastwick College-Hackensack,2018,36,23,4,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183488,Eastwick College-Hackensack,2018,37,24,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183488,Eastwick College-Hackensack,2018,48,32,4,46,8.0,38.0,0.0,0.0,0.0,1.0,1.0,0.0,18.0,2.0,16.0,22.0,3.0,19.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2020,27,10,4,100,15.0,85.0,2.0,1.0,1.0,2.0,1.0,1.0,33.0,5.0,28.0,45.0,4.0,41.0,1.0,0.0,1.0,17.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2020,29,12,4,100,15.0,85.0,2.0,1.0,1.0,2.0,1.0,1.0,33.0,5.0,28.0,45.0,4.0,41.0,1.0,0.0,1.0,17.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2020,30,13,4,42,9.0,33.0,2.0,1.0,1.0,1.0,1.0,0.0,12.0,4.0,8.0,15.0,0.0,15.0,0.0,0.0,0.0,12.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2020,31,14,4,26,2.0,24.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,12.0,0.0,12.0,0.0,0.0,0.0,9.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2020,32,15,4,16,7.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,4.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2020,35,22,4,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183488,Eastwick College-Hackensack,2020,36,23,4,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183488,Eastwick College-Hackensack,2020,37,24,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183488,Eastwick College-Hackensack,2020,47,31,4,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2020,48,32,4,57,6.0,51.0,0.0,0.0,0.0,1.0,0.0,1.0,21.0,1.0,20.0,29.0,4.0,25.0,1.0,0.0,1.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2021,27,10,4,134,14.0,120.0,0.0,0.0,0.0,2.0,0.0,2.0,48.0,5.0,43.0,58.0,5.0,53.0,2.0,1.0,1.0,22.0,3.0,19.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
183488,Eastwick College-Hackensack,2021,29,12,4,134,14.0,120.0,0.0,0.0,0.0,2.0,0.0,2.0,48.0,5.0,43.0,58.0,5.0,53.0,2.0,1.0,1.0,22.0,3.0,19.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
183488,Eastwick College-Hackensack,2021,30,13,4,57,7.0,50.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0,1.0,14.0,26.0,4.0,22.0,1.0,1.0,0.0,13.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
183488,Eastwick College-Hackensack,2021,31,14,4,32,2.0,30.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,7.0,11.0,1.0,10.0,1.0,1.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
183488,Eastwick College-Hackensack,2021,32,15,4,25,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,7.0,15.0,3.0,12.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2021,33,20,4,13,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,8.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2021,35,22,4,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183488,Eastwick College-Hackensack,2021,36,23,4,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183488,Eastwick College-Hackensack,2021,37,24,4,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183488,Eastwick College-Hackensack,2021,47,31,4,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2021,48,32,4,61,7.0,54.0,0.0,0.0,0.0,1.0,0.0,1.0,28.0,4.0,24.0,23.0,1.0,22.0,1.0,0.0,1.0,7.0,2.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2023,1,10,1,100,15.0,85.0,2.0,1.0,1.0,2.0,1.0,1.0,33.0,5.0,28.0,45.0,4.0,41.0,1.0,0.0,1.0,17.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2023,2,12,1,100,15.0,85.0,2.0,1.0,1.0,2.0,1.0,1.0,33.0,5.0,28.0,45.0,4.0,41.0,1.0,0.0,1.0,17.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2023,3,13,1,44,9.0,35.0,2.0,1.0,1.0,1.0,1.0,0.0,13.0,4.0,9.0,16.0,0.0,16.0,0.0,0.0,0.0,12.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2023,4,20,1,7,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2023,18,10,3,100,15.0,85.0,2.0,1.0,1.0,2.0,1.0,1.0,33.0,5.0,28.0,45.0,4.0,41.0,1.0,0.0,1.0,17.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2023,20,12,3,100,15.0,85.0,2.0,1.0,1.0,2.0,1.0,1.0,33.0,5.0,28.0,45.0,4.0,41.0,1.0,0.0,1.0,17.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2023,21,13,3,44,9.0,35.0,2.0,1.0,1.0,1.0,1.0,0.0,13.0,4.0,9.0,16.0,0.0,16.0,0.0,0.0,0.0,12.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2023,22,14,3,27,2.0,25.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,13.0,0.0,13.0,0.0,0.0,0.0,9.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2023,23,15,3,17,7.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,4.0,6.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2023,25,20,3,7,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2023,42,32,1,49,5.0,44.0,0.0,0.0,0.0,1.0,0.0,1.0,17.0,1.0,16.0,25.0,3.0,22.0,1.0,0.0,1.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2023,46,32,3,49,5.0,44.0,0.0,0.0,0.0,1.0,0.0,1.0,17.0,1.0,16.0,25.0,3.0,22.0,1.0,0.0,1.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183488,Eastwick College-Hackensack,2022,29,12,4,127,16.0,111.0,0.0,0.0,0.0,7.0,2.0,5.0,41.0,6.0,35.0,66.0,7.0,59.0,0.0,0.0,0.0,12.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
